
13-02-2018 10:32:35:614 - D: 	Executing bot with following commands python.exe "bot.py" A "C:\Users\Dafi Faraz\Documents\GitHub\tubes1Stima\Game Engine\Replays\2018-02-13 10-32-15-507\Phase 2 - Round 86\A"
13-02-2018 10:32:35:614 - I: 	Executing process python.exe "bot.py" A "C:\Users\Dafi Faraz\Documents\GitHub\tubes1Stima\Game Engine\Replays\2018-02-13 10-32-15-507\Phase 2 - Round 86\A"
13-02-2018 10:32:35:614 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 10:32:35:692 - I: 	Output from bot: data file 3 9 target
13-02-2018 10:32:35:692 - I: 	Output from bot: missed
13-02-2018 10:32:35:692 - I: 	Output from bot: isi stack
13-02-2018 10:32:35:692 - I: 	Output from bot: 8 4
13-02-2018 10:32:35:692 - I: 	Output from bot: 9 5
13-02-2018 10:32:35:692 - I: 	Output from bot: 0 7
13-02-2018 10:32:35:692 - I: 	Output from bot: 1 8
13-02-2018 10:32:35:692 - I: 	Output from bot: 8 1
13-02-2018 10:32:35:692 - I: 	Output from bot: 9 0
13-02-2018 10:32:35:692 - I: 	Output from bot: 8 3
13-02-2018 10:32:35:692 - I: 	Output from bot: 9 2
13-02-2018 10:32:35:692 - I: 	Output from bot: current mode : target
13-02-2018 10:32:35:692 - E: 	Output from bot: 
13-02-2018 10:32:35:692 - I: 	Output from bot: 
13-02-2018 10:32:35:707 - I: 	Your bots total execution time was 00:00:00.0808557
