
13-02-2018 09:49:59:968 - D: 	Executing bot with following commands python.exe "bot.py" B "C:\Users\Dafi Faraz\Documents\GitHub\tubes1Stima\Game Engine\Replays\2018-02-13 09-49-52-443\Phase 2 - Round 17\B"
13-02-2018 09:49:59:968 - I: 	Executing process python.exe "bot.py" B "C:\Users\Dafi Faraz\Documents\GitHub\tubes1Stima\Game Engine\Replays\2018-02-13 09-49-52-443\Phase 2 - Round 17\B"
13-02-2018 09:49:59:970 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 09:50:00:057 - I: 	Output from bot: data file 6 0 target
13-02-2018 09:50:00:057 - I: 	Output from bot: missed
13-02-2018 09:50:00:057 - I: 	Output from bot: isi stack
13-02-2018 09:50:00:057 - I: 	Output from bot: 6 4
13-02-2018 09:50:00:057 - I: 	Output from bot: 8 0
13-02-2018 09:50:00:057 - I: 	Output from bot: 9 1
13-02-2018 09:50:00:057 - I: 	Output from bot: 8 4
13-02-2018 09:50:00:057 - I: 	Output from bot: 9 3
13-02-2018 09:50:00:057 - I: 	Output from bot: 3 2
13-02-2018 09:50:00:057 - I: 	Output from bot: 4 1
13-02-2018 09:50:00:057 - I: 	Output from bot: 4 3
13-02-2018 09:50:00:057 - I: 	Output from bot: 5 0
13-02-2018 09:50:00:057 - I: 	Output from bot: 5 4
13-02-2018 09:50:00:057 - I: 	Output from bot: current mode : target
13-02-2018 09:50:00:063 - I: 	Output from bot: 
13-02-2018 09:50:00:063 - E: 	Output from bot: 
13-02-2018 09:50:00:065 - I: 	Your bots total execution time was 00:00:00.0964673
