
13-02-2018 09:50:13:406 - D: 	Executing bot with following commands python.exe "bot.py" B "C:\Users\Dafi Faraz\Documents\GitHub\tubes1Stima\Game Engine\Replays\2018-02-13 09-49-52-443\Phase 2 - Round 53\B"
13-02-2018 09:50:13:406 - I: 	Executing process python.exe "bot.py" B "C:\Users\Dafi Faraz\Documents\GitHub\tubes1Stima\Game Engine\Replays\2018-02-13 09-49-52-443\Phase 2 - Round 53\B"
13-02-2018 09:50:13:408 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 09:50:13:531 - I: 	Output from bot: data file 1 1 target
13-02-2018 09:50:13:531 - I: 	Output from bot: missed
13-02-2018 09:50:13:531 - I: 	Output from bot: isi stack
13-02-2018 09:50:13:531 - I: 	Output from bot: 1 3
13-02-2018 09:50:13:531 - I: 	Output from bot: 2 4
13-02-2018 09:50:13:531 - I: 	Output from bot: 3 5
13-02-2018 09:50:13:531 - I: 	Output from bot: 4 6
13-02-2018 09:50:13:531 - I: 	Output from bot: 2 0
13-02-2018 09:50:13:531 - I: 	Output from bot: 5 7
13-02-2018 09:50:13:531 - I: 	Output from bot: 6 8
13-02-2018 09:50:13:531 - I: 	Output from bot: 7 7
13-02-2018 09:50:13:531 - I: 	Output from bot: 8 6
13-02-2018 09:50:13:531 - I: 	Output from bot: 9 7
13-02-2018 09:50:13:531 - I: 	Output from bot: 0 1
13-02-2018 09:50:13:531 - I: 	Output from bot: 0 3
13-02-2018 09:50:13:531 - I: 	Output from bot: current mode : target
13-02-2018 09:50:13:538 - I: 	Output from bot: 
13-02-2018 09:50:13:538 - E: 	Output from bot: 
13-02-2018 09:50:13:539 - I: 	Your bots total execution time was 00:00:00.1326214
