
13-02-2018 10:32:20:718 - D: 	Executing bot with following commands python.exe "bot.py" A "C:\Users\Dafi Faraz\Documents\GitHub\tubes1Stima\Game Engine\Replays\2018-02-13 10-32-15-507\Phase 2 - Round 20\A"
13-02-2018 10:32:20:718 - I: 	Executing process python.exe "bot.py" A "C:\Users\Dafi Faraz\Documents\GitHub\tubes1Stima\Game Engine\Replays\2018-02-13 10-32-15-507\Phase 2 - Round 20\A"
13-02-2018 10:32:20:718 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 10:32:20:803 - I: 	Output from bot: data file 7 8 target
13-02-2018 10:32:20:803 - I: 	Output from bot: missed
13-02-2018 10:32:20:803 - I: 	Output from bot: isi stack
13-02-2018 10:32:20:803 - I: 	Output from bot: 8 9
13-02-2018 10:32:20:803 - I: 	Output from bot: 8 7
13-02-2018 10:32:20:803 - I: 	Output from bot: 9 8
13-02-2018 10:32:20:803 - I: 	Output from bot: 0 0
13-02-2018 10:32:20:803 - I: 	Output from bot: 0 2
13-02-2018 10:32:20:803 - I: 	Output from bot: 1 1
13-02-2018 10:32:20:803 - I: 	Output from bot: 0 4
13-02-2018 10:32:20:803 - I: 	Output from bot: 1 3
13-02-2018 10:32:20:803 - I: 	Output from bot: 1 5
13-02-2018 10:32:20:803 - I: 	Output from bot: 2 4
13-02-2018 10:32:20:803 - I: 	Output from bot: 2 2
13-02-2018 10:32:20:803 - I: 	Output from bot: 3 3
13-02-2018 10:32:20:803 - I: 	Output from bot: 2 6
13-02-2018 10:32:20:803 - I: 	Output from bot: 3 5
13-02-2018 10:32:20:803 - I: 	Output from bot: 4 4
13-02-2018 10:32:20:803 - I: 	Output from bot: 2 0
13-02-2018 10:32:20:803 - I: 	Output from bot: 3 1
13-02-2018 10:32:20:803 - I: 	Output from bot: 4 0
13-02-2018 10:32:20:803 - I: 	Output from bot: 4 2
13-02-2018 10:32:20:803 - I: 	Output from bot: 5 1
13-02-2018 10:32:20:803 - I: 	Output from bot: 6 0
13-02-2018 10:32:20:803 - I: 	Output from bot: 5 3
13-02-2018 10:32:20:803 - I: 	Output from bot: 6 2
13-02-2018 10:32:20:803 - I: 	Output from bot: 5 5
13-02-2018 10:32:20:803 - I: 	Output from bot: 6 4
13-02-2018 10:32:20:803 - I: 	Output from bot: 7 3
13-02-2018 10:32:20:803 - I: 	Output from bot: 3 7
13-02-2018 10:32:20:803 - I: 	Output from bot: 4 6
13-02-2018 10:32:20:803 - I: 	Output from bot: 5 9
13-02-2018 10:32:20:803 - I: 	Output from bot: 6 8
13-02-2018 10:32:20:803 - I: 	Output from bot: 7 9
13-02-2018 10:32:20:803 - I: 	Output from bot: current mode : target
13-02-2018 10:32:20:803 - E: 	Output from bot: 
13-02-2018 10:32:20:803 - I: 	Output from bot: 
13-02-2018 10:32:20:818 - I: 	Your bots total execution time was 00:00:00.0965475
